&METADATA_NAMELIST
startdate = "200704010000"
enddate = "201012310000"
loop_for_a_while = 0
output_dir = ""
Latitude = 33.02
Longitude = 91.96
Forcing_Timestep = 86400
Noahlsm_Timestep = 86400
Sea_ice_point = .FALSE.
Soil_layer_thickness = 0.045 0.046 0.075 0.123 0.204 0.336 0.371 0.3 0.5 0.5 0.7 1.0 1.0 1.0 1.0 1.0 1.0 2.0 2.0 2.0
Soil_Temperature = 273.4 271.6 271.2 270.8 270.2 269.4 268.7 268.4 267.5 268.5 270.5 271.0 271.4 271.6 271.7 271.8 271.8 271.9 271.8 271.9
Soil_Moisture = 0.104 0.22 0.247 0.222 0.276 0.247 0.238 0.223 0.205 0.169 0.337 0.337 0.337 0.094 0.109 0.121 0.131 0.15 0.164 0.173
Soil_Liquid = 0.104 0.099 0.104 0.084 0.052 0.03 0.003 0.01 0.031 0.057 0.035 0.039 0.042 0.016 0.017 0.018 0.019 0.021 0.023 0.024
Soil_htype = 7 7 7 7 9 7 7 7 7 7 12 12 12 13 13 13 13 13 13 13
Skin_Temperature = 271.241
Canopy_water = 0
Snow_depth = 0
Snow_equivalent = 0
Deep_Soil_Temperature = 272.43
Landuse_dataset = "USGS"
Soil_type_index = 3
Vegetation_type_index = 9
Urban_veg_category = 1
glacial_veg_category = 24
Slope_type_index = 3
Max_snow_albedo = 0.75
Air_temperature_level = 2.0
Wind_level = 10.0
Green_Vegetation_Min = 0.01
Green_Vegetation_Max = 0.96
Usemonalb = .FALSE.
Rdlai2d = .FALSE.
sfcdif_option = 1
iz0tlnd = 0
Albedo_monthly = 0.18 0.17 0.16 0.15 0.15 0.15 0.15 0.16 0.16 0.17 0.17 0.18
Shdfac_monthly = 0.01 0.02 0.07 0.17 0.27 0.58 0.93 0.96 0.65 0.24 0.11 0.02
lai_monthly = 4.0 4.0 4.0 4.0 4.0 4.0 4.0 4.0 4.0 4.0 4.0 4.0
Z0brd_monthly = 0.02 0.02 0.025 0.03 0.035 0.036 0.035 0.03 0.027 0.025 0.02 0.02
/
------------------------------------------------------------------------------------------------------------------------------------------------------------
 UTC date/time        windspeed       wind dir         temperature      humidity        pressure           shortwave      longwave          precipitation
yyyy mm dd hh mi       m s{-1}        degrees               K               %             hPa               W m{-2}        W m{-2}          kg m{-2} s{-1}
------------------------------------------------------------------------------------------------------------------------------------------------------------
<Forcing>  This tag ("<Forcing>", not case sensitive) begins the section of forcing data.  The times have been converted from CST to UTC
2007 04 19 00 00     2.6877472778   249.0000000000   274.3662438693    38.0216772923   548.2200000000   357.3125000000   215.4062500000 0.0000011287826379
2007 04 20 00 00     1.9702472438   249.0000000000   270.4487439569    79.1822172400   548.2200000000   318.1562500000   219.6875000000 0.0000157989211988
2007 04 21 00 00     2.9854972920   249.0000000000   269.6074939757    70.4693824606   548.2200000000   270.6875000000   227.6875000000 0.0000173614211639
2007 04 22 00 00     1.9639972434   249.0000000000   267.6862440186    72.5778939089   548.2200000000   320.6562500000   207.3125000000 0.0000212676710766
2007 04 23 00 00     1.5472472236   249.0000000000   269.1099939868    50.0481901333   548.2200000000   234.3750000000   234.1250000000 0.0000018232270668
2007 04 24 00 00     2.3199972603   249.0000000000   272.1437439190    48.6284557609   548.2200000000   329.1875000000   220.2812500000 0.0000000003104409
2007 04 25 00 00     4.3367473561   249.0000000000   267.1849940298    71.2720928583   548.2200000000   324.5625000000   205.0937500000 0.0000058162825331
2007 04 26 00 00     3.6829973251   249.0000000000   266.8274940378    46.2939749923   548.2200000000   367.0937500000   190.2812500000 0.0000019968381740
2007 04 27 00 00     5.0687473909   249.0000000000   266.3537440484    30.0304272797   548.2200000000   356.8125000000   189.3125000000 0.0000000003104409
2007 04 28 00 00     4.0014973402   249.0000000000   267.9662440123    29.9978302798   548.2200000000   255.5312500000   222.0937500000 0.0000000871159945
2007 04 29 00 00     2.3322472609   249.0000000000   269.1187439866    38.2323813858   548.2200000000   352.9375000000   201.6250000000 0.0000003475326554
2007 04 30 00 00     2.8049972834   249.0000000000   270.1049939645    28.8805254862   548.2200000000   247.3750000000   233.8750000000 0.0000014760048524
2007 05 01 00 00     1.6292472275   249.0000000000   272.5774939093    25.8244262536   550.2200000000   381.4687500000   204.1875000000 0.0000114586435181
2007 05 02 00 00     4.0857473442   249.0000000000   271.0987439423    45.0646603953   550.2200000000   296.2187500000   226.9687500000 0.0000125003101615
2007 05 03 00 00     2.7212472794   249.0000000000   268.0599940103    30.7183103265   550.2200000000   346.5000000000   198.7187500000 0.0000033857270319
2007 05 04 00 00     1.8399972375   249.0000000000   270.6799939517    12.1269870674   550.2200000000   361.5937500000   202.0312500000 0.0000013023937451
2007 05 05 00 00     2.8422472852   249.0000000000   273.9662438782    30.0515015050   550.2200000000   347.9687500000   220.4687500000 0.0000061635047476
2007 05 06 00 00     3.3819973108   249.0000000000   274.0349938767    67.8887872520   550.2200000000   308.3750000000   239.6875000000 0.0000940107250063
2007 05 07 00 00     2.0067472454   249.0000000000   272.3537439143    80.5992640818   550.2200000000   264.7187500000   246.5625000000 0.0001029516970286
2007 05 08 00 00     2.8364972849   249.0000000000   273.3087438929    67.0788956918   550.2200000000   261.5312500000   248.7500000000 0.0000091148935705
2007 05 09 00 00     2.0792472489   249.0000000000   272.1912439179    86.8130926757   550.2200000000   345.8750000000   226.0000000000 0.0000493926704480
2007 05 10 00 00     5.0199973886   249.0000000000   269.3087439823    84.8602433142   550.2200000000   269.3437500000   232.7500000000 0.0000480037815901
2007 05 11 00 00     4.1982473495   249.0000000000   270.1024939646    56.5337412180   550.2200000000    92.7500000000   278.1562500000 0.0000037329492463
2007 05 12 00 00     5.3777474056   249.0000000000   271.8899939246    64.5647550747   550.2200000000   291.3125000000   235.3125000000 0.0000252607265429
2007 05 13 00 00     3.5084973168   249.0000000000   272.0649939207    71.1859463414   550.2200000000   327.3125000000   228.1562500000 0.0000422746150515
2007 05 14 00 00     2.6524972761   249.0000000000   270.6037439534    67.8249596801   550.2200000000   279.2187500000   235.4687500000 0.0000095489213386
2007 05 15 00 00     2.4794972679   249.0000000000   272.5724939094    55.6162955533   550.2200000000   250.8437500000   248.5312500000 0.0000019968381740
2007 05 16 00 00     3.0652472957   249.0000000000   271.0749939429    62.7120246743   550.2200000000   379.9375000000   210.5937500000 0.0000197919766652
2007 05 17 00 00     3.2837473061   249.0000000000   271.6299939305    48.3951280253   550.2200000000   379.6562500000   209.6875000000 0.0000016496159596
2007 05 18 00 00     1.8102472361   249.0000000000   274.8324938589    37.5125718659   550.2200000000   390.1875000000   217.4375000000 0.0000023440603885
2007 05 19 00 00     1.6587472289   249.0000000000   273.8712438804    67.4609122085   550.2200000000   371.0937500000   225.7500000000 0.0000139760045729
2007 05 20 00 00     3.0714972960   249.0000000000   274.9299938567    74.6375485189   550.2200000000   323.2812500000   243.9375000000 0.0000058162825331
2007 05 21 00 00     3.5252473176   249.0000000000   279.4899937548    49.3332510707   550.2200000000   302.1250000000   263.1250000000 0.0000109378101964
2007 05 22 00 00     5.5949974159   249.0000000000   279.5224937540    35.6913212277   550.2200000000   241.3125000000   278.5000000000 0.0000098093379994
2007 05 23 00 00     4.0297473416   249.0000000000   277.6374937962    45.0886535093   550.2200000000    21.7500000000   331.7812500000 0.0000265628098472
2007 05 24 00 00     4.7474973756   249.0000000000   279.0312437651    41.9663000559   550.2200000000   382.8125000000   238.0937500000 0.0000082468380344
2007 05 25 00 00     3.8187473316   249.0000000000   276.1962438284    50.0990923517   550.2200000000   387.4062500000   228.4687500000 0.0000157121156453
2007 05 26 00 00     3.0112472932   249.0000000000   274.9812438556    45.9883799922   550.2200000000   392.3750000000   221.4375000000 0.0000248266987749
2007 05 27 00 00     3.2722473056   249.0000000000   276.7862438152    39.2083371271   550.2200000000   361.6250000000   235.3750000000 0.0000430558650341
2007 05 28 00 00     4.8707473815   249.0000000000   278.1299937852    29.1246140050   550.2200000000   400.1250000000   226.6875000000 0.0000269968376152
2007 05 29 00 00     4.3132473550   249.0000000000   275.2699938491    29.5901339301   550.2200000000   303.7812500000   243.3750000000 0.0000004343382090
2007 05 30 00 00     2.8794972869   249.0000000000   274.0012438775    64.3403755893   550.2200000000   286.9687500000   248.4375000000 0.0000745662809964
2007 05 31 00 00     2.4282472655   249.0000000000   270.4037439579    89.5604316436   550.2200000000   298.2812500000   233.3125000000 0.0000594621146673
2007 06 01 00 00     2.9194972888   249.0000000000   273.7824938823    66.1443183317   551.1800000000   286.5312500000   249.2812500000 0.0001058162802979
2007 06 02 00 00     3.0842472966   249.0000000000   271.8737439250    76.3297021741   551.1800000000   304.0625000000   236.7812500000 0.0000993926693304
2007 06 03 00 00     1.6547472288   249.0000000000   273.5487438876    56.7812929170   551.1800000000   283.1875000000   246.5000000000 0.0000118926712862
2007 06 04 00 00     2.8249972843   249.0000000000   274.4499938674    69.1117460448   551.1800000000   392.6562500000   225.9062500000 0.0000048614214433
2007 06 05 00 00     2.9957472924   249.0000000000   275.3574938471    69.5701793954   551.1800000000   368.8750000000   235.5312500000 0.0000610246146324
2007 06 06 00 00     1.7209972319   249.0000000000   274.6612438627    76.9540739684   551.1800000000   385.1875000000   230.0625000000 0.0001868926673746
2007 06 07 00 00     2.8852472872   249.0000000000   275.4799938444    64.3027218378   551.1800000000   392.4062500000   229.5000000000 0.0000291669764556
2007 06 08 00 00     4.3264973556   249.0000000000   274.1337438745    64.0323339925   551.1800000000   391.9687500000   223.6875000000 0.0000324655874930
2007 06 09 00 00     2.7124972790   249.0000000000   275.5112438437    51.4217773231   551.1800000000   368.3750000000   232.2812500000 0.0000327260041538
2007 06 10 00 00     5.5934974158   249.0000000000   273.4337438901    70.9552764654   551.1800000000   389.6250000000   222.8750000000 0.0001092885024425
2007 06 11 00 00     4.1027473450   249.0000000000   272.5462439100    48.1503674299   551.1800000000   364.2500000000   221.5312500000 0.0000031253103710
2007 06 12 00 00     3.0959972972   249.0000000000   275.5887438420    40.4260583124   551.1800000000   157.3125000000   286.1562500000 0.0000000003104409
2007 06 13 00 00     2.4614972671   249.0000000000   275.8449938362    56.3710188784   551.1800000000   310.4375000000   250.0312500000 0.0000597225313282
2007 06 14 00 00     2.4477472664   249.0000000000   277.5087437991    57.6179164468   551.1800000000   397.1875000000   235.6562500000 0.0001300350297566
2007 06 15 00 00     1.4559972193   249.0000000000   276.0199938323    80.6336218942   551.1800000000   217.7187500000   277.3750000000 0.0003094621090794
2007 06 16 00 00     2.1484972522   249.0000000000   273.7324938835    87.5725019822   551.1800000000   226.0312500000   266.0312500000 0.0003509551637075
2007 06 17 00 00     3.2707473055   249.0000000000   277.1074938080    71.3934598541   551.1800000000   221.7187500000   280.2812500000 0.0000812503086248
2007 06 18 00 00     3.5489973187   249.0000000000   278.0662437866    69.5143452215   551.1800000000   190.2812500000   292.5625000000 0.0000993926693304
2007 06 19 00 00     4.5107473644   249.0000000000   277.4999937992    70.8690381402   551.1800000000   172.3750000000   294.2812500000 0.0001113718357293
2007 06 20 00 00     2.1339972515   249.0000000000   276.4724938222    68.8848697493   551.1800000000   179.8125000000   287.6875000000 0.0001121530857118
2007 06 21 00 00     3.2842473062   249.0000000000   272.7324939058    76.7339681989   551.1800000000   321.1875000000   236.7812500000 0.0001141496134450
2007 06 22 00 00     2.5474972712   249.0000000000   275.0799938534    57.0839596814   551.1800000000   396.4687500000   225.2812500000 0.0000130211434832
2007 06 23 00 00     2.8842472871   249.0000000000   276.6137438191    43.6766807501   551.1800000000   353.3437500000   239.4062500000 0.0000107641990892
2007 06 24 00 00     4.1024973450   249.0000000000   274.2049938729    49.6689915022   551.1800000000   299.9687500000   244.9375000000 0.0000107641990892
2007 06 25 00 00     2.7399972803   249.0000000000   274.3062438706    48.6804533423   551.1800000000   287.8750000000   247.8437500000 0.0000123266990543
2007 06 26 00 00     2.9137472886   249.0000000000   276.8787438131    49.3554325956   551.1800000000   327.0625000000   249.3437500000 0.0000518232259492
2007 06 27 00 00     3.4479973139   249.0000000000   275.4862438443    61.4890420418   551.1800000000   393.8437500000   228.8437500000 0.0000486114204655
2007 06 28 00 00     2.4707472675   249.0000000000   276.6649938179    47.9339742643   551.1800000000   245.6562500000   268.6875000000 0.0000121530879470
2007 06 29 00 00     2.8399972850   249.0000000000   280.7349937269    36.2589546957   551.1800000000   282.0312500000   273.7500000000 0.0000230905877025
2007 06 30 00 00     3.0744972962   249.0000000000   278.6487437736    66.1154445944   551.1800000000   221.1250000000   287.2187500000 0.0002006947503994
2007 07 01 00 00     3.1514972998   249.0000000000   276.3512438249    83.3680822970   552.5600000000   183.0625000000   286.8750000000 0.0001128475301408
2007 07 02 00 00     2.3959972640   249.0000000000   278.2249937831    74.3428717645   552.5600000000   360.4687500000   253.5937500000 0.0000331600319219
2007 07 03 00 00     3.2929973066   249.0000000000   278.3674937799    78.1745975940   552.5600000000   156.1562500000   303.5625000000 0.0001002607248665
2007 07 04 00 00     3.5247473176   249.0000000000   277.3512438026    79.5755577129   552.5600000000    71.4062500000   318.7187500000 0.0000894968362182
2007 07 05 00 00     2.6472472759   249.0000000000   277.7387437939    68.8205822206   552.5600000000   257.0937500000   274.5625000000 0.0000082468380343
2007 07 06 00 00     2.8307472846   249.0000000000   277.9924937882    73.2973624230   552.5600000000   178.4687500000   295.2187500000 0.0000363718374057
2007 07 07 00 00     2.9562472906   249.0000000000   278.1124937856    78.3294631065   552.5600000000   128.6250000000   308.8125000000 0.0000432294761413
2007 07 08 00 00     2.8757472867   249.0000000000   278.2587437823    80.0165969914   552.5600000000   259.9687500000   278.2187500000 0.0000459204483034
2007 07 09 00 00     2.7784972821   249.0000000000   279.4837437549    75.0101671009   552.5600000000   270.1875000000   280.3437500000 0.0001907121117337
2007 07 10 00 00     3.0492472950   249.0000000000   277.3799938019    80.8925332103   552.5600000000   346.5625000000   253.9375000000 0.0000787329475699
2007 07 11 00 00     3.2079973025   249.0000000000   278.0737437864    54.4236714305   552.5600000000   280.8437500000   266.0312500000 0.0000062503103012
2007 07 12 00 00     2.8737472866   249.0000000000   277.5087437990    52.9607372335   552.5600000000   196.1562500000   285.7500000000 0.0000084204491416
2007 07 13 00 00     1.7219972319   249.0000000000   278.8849937683    42.0908586759   552.5600000000   204.8125000000   287.5625000000 0.0000061635047476
2007 07 14 00 00     2.8604972860   249.0000000000   277.8562437913    77.1729528556   552.5600000000   271.1562500000   271.3750000000 0.0001215280855023
2007 07 15 00 00     3.8934973351   249.0000000000   278.7624937711    77.7669899593   552.5600000000   111.4687500000   316.1250000000 0.0001056426691907
2007 07 16 00 00     4.4387473610   249.0000000000   279.3537437578    73.9856534458   552.5600000000   252.3750000000   283.8125000000 0.0000605905868643
2007 07 17 00 00     2.7352472801   249.0000000000   277.8299937919    81.5077545577   552.5600000000    29.7187500000   330.9375000000 0.0000333336430292
2007 07 18 00 00     2.5269972702   249.0000000000   279.8549937466    72.7909458018   552.5600000000    59.0312500000   333.5937500000 0.0000581600313631
2007 07 19 00 00     3.8849973347   249.0000000000   277.6274937964    58.2971086427   552.5600000000   384.7812500000   237.8437500000 0.0000026912826030
2007 07 20 00 00     3.7769973295   249.0000000000   277.2062438058    57.9063601906   552.5600000000   383.0000000000   236.2812500000 0.0000027780881566
2007 07 21 00 00     2.4564972668   249.0000000000   277.1624938068    48.7357166806   552.5600000000   385.2500000000   232.8750000000 0.0000021704492813
2007 07 22 00 00     2.5649972720   249.0000000000   278.5662437754    45.6907414735   552.5600000000   265.5000000000   269.2812500000 0.0000000003104409
2007 07 23 00 00     2.7179972793   249.0000000000   281.0649937196    48.1699449337   552.5600000000   292.7187500000   274.1562500000 0.0000289933653484
2007 07 24 00 00     1.0609972005   249.0000000000   274.9874938554    85.5121364675   552.5600000000   274.1250000000   257.6250000000 0.0000172746156103
2007 07 25 00 00     3.0849972967   249.0000000000   279.4887437548    56.2384592001   552.5600000000   349.6250000000   253.3125000000 0.0000114586435181
2007 07 26 00 00     3.0237472938   249.0000000000   280.1449937401    61.6536667768   552.5600000000   286.6875000000   274.0312500000 0.0000511287815203
2007 07 27 00 00     2.5877472731   249.0000000000   278.5962437748    67.7742820280   552.5600000000   290.7812500000   266.3125000000 0.0000440975316774
2007 07 28 00 00     3.3777473106   249.0000000000   278.2587437823    75.3633067113   552.5600000000   168.9062500000   298.0625000000 0.0001195315577692
2007 07 29 00 00     3.3622473099   249.0000000000   277.3124938035    82.4334145632   552.5600000000   312.7500000000   258.5000000000 0.0002626739156808
2007 07 30 00 00     4.5182473648   249.0000000000   275.6924938397    76.1793114897   552.5600000000   317.6562500000   247.9687500000 0.0000460940594106
2007 07 31 00 00     2.6357472753   249.0000000000   275.5762438423    49.9998436058   552.5600000000    18.9687500000   322.4062500000 0.0000339412819045
2007 08 01 00 00     2.7759972820   249.0000000000   277.1974938060    47.2668731382   553.6000000000   279.0937500000   258.6562500000 0.0000158857267525
2007 08 02 00 00     2.1247472511   249.0000000000   279.4762437551    48.5005956159   553.6000000000   370.7812500000   243.9375000000 0.0000075523936054
2007 08 03 00 00     2.4024972643   249.0000000000   279.7112437498    67.3715606967   553.6000000000   335.8750000000   260.3437500000 0.0000375871151563
2007 08 04 00 00     2.5054972692   249.0000000000   279.0112437655    78.6971788401   553.6000000000   311.8750000000   265.1875000000 0.0002482641937806
2007 08 05 00 00     1.1932472068   249.0000000000   278.4612437778    78.8268326534   553.6000000000   249.0000000000   277.7187500000 0.0000421878094979
2007 08 06 00 00     2.1749972534   249.0000000000   280.2912437369    73.9140997407   553.6000000000   194.7187500000   300.3750000000 0.0000460940594106
2007 08 07 00 00     1.8962472402   249.0000000000   281.9324937002    70.8251454493   553.6000000000   241.5000000000   296.7500000000 0.0000643232256698
2007 08 08 00 00     1.9987472451   249.0000000000   280.0812437416    73.9401219925   553.6000000000   282.4062500000   276.5937500000 0.0001498266959809
2007 08 09 00 00     2.8877472873   249.0000000000   281.2599937152    68.8640473577   553.6000000000   308.4687500000   274.1562500000 0.0000309898930816
2007 08 10 00 00     2.2279972560   249.0000000000   278.8562437689    84.0732037527   553.6000000000   225.8750000000   286.4687500000 0.0000865454473953
2007 08 11 00 00     1.6147472268   249.0000000000   279.3999937568    67.8046579087   553.6000000000   356.1562500000   250.6562500000 0.0000335940596900
2007 08 12 00 00     1.8542472382   249.0000000000   280.0237437428    52.7658082019   553.6000000000   148.4687500000   306.8750000000 0.0000032989214783
2007 08 13 00 00     3.9394973373   249.0000000000   281.2149937162    59.1194104866   553.6000000000   257.1875000000   283.6875000000 0.0000957468360786
2007 08 14 00 00     2.7537472809   249.0000000000   278.6274937740    83.8803029523   553.6000000000   350.9375000000   253.3437500000 0.0000555558647547
2007 08 15 00 00     2.5037472691   249.0000000000   279.0049937656    81.1588504135   553.6000000000    24.9375000000   337.5000000000 0.0000218753099519
2007 08 16 00 00     2.7932472828   249.0000000000   279.7312437494    77.5222189745   553.6000000000   202.0937500000   294.7500000000 0.0001030385025822
2007 08 17 00 00     2.0737472486   249.0000000000   278.1249937853    86.8639166963   553.6000000000   167.3437500000   296.7812500000 0.0000551218369866
2007 08 18 00 00     2.6954972782   249.0000000000   278.3499937803    82.6483777636   553.6000000000   151.0937500000   301.3437500000 0.0001108510024076
2007 08 19 00 00     2.5642472719   249.0000000000   276.0962438306    87.8836557522   553.6000000000   238.2187500000   267.3437500000 0.0001495662793200
2007 08 20 00 00     2.0687472484   249.0000000000   277.5699937977    78.0878110322   553.6000000000   272.2187500000   264.2812500000 0.0000939239194526
2007 08 21 00 00     2.9492472902   249.0000000000   278.2324937829    74.7864883351   553.6000000000   280.0000000000   264.0000000000 0.0000752607254253
2007 08 22 00 00     2.5849972729   249.0000000000   279.4287437561    68.2843260146   553.6000000000   327.4375000000   254.4062500000 0.0001081600302455
2007 08 23 00 00     3.7082473263   249.0000000000   279.9887437436    71.1476628256   553.6000000000   255.8750000000   278.4062500000 0.0000233510043634
2007 08 24 00 00     3.6949973256   249.0000000000   279.8662437464    69.4516303641   553.6000000000   262.3125000000   274.4375000000 0.0001593753068786
2007 08 25 00 00     4.2834973536   249.0000000000   278.1787437841    79.4745863466   553.6000000000   320.5000000000   252.6875000000 0.0001095489191034
2007 08 26 00 00     1.9959972449   249.0000000000   276.8774938132    84.4198394936   553.6000000000    86.1562500000   310.2500000000 0.0001179690578041
2007 08 27 00 00     2.3517472619   249.0000000000   278.5237437764    81.3832149488   553.6000000000   219.8437500000   282.1562500000 0.0003519100247973
2007 08 28 00 00     2.6909972780   249.0000000000   279.1974937613    76.6986097846   553.6000000000   130.9687500000   308.6562500000 0.0001667537789359
2007 08 29 00 00     2.0312472466   249.0000000000   278.5949937748    79.4429253218   553.6000000000   291.4062500000   261.5312500000 0.0001911461395018
2007 08 30 00 00     2.2619972576   249.0000000000   277.1249938076    77.2701275455   553.6000000000   199.5000000000   278.5000000000 0.0000775176698193
2007 08 31 00 00     3.0827472966   249.0000000000   277.2649938045    75.9019497814   553.6000000000   252.6875000000   263.0000000000 0.0000665801700638
2007 09 01 00 00     2.9359972896   249.0000000000   276.9387438118    77.9581913666   553.4000000000   272.0937500000   256.5937500000 0.0006717884898697
2007 09 02 00 00     3.6047473214   249.0000000000   275.3587438471    71.6163817694   553.4000000000   310.9687500000   236.6250000000 0.0000230905877025
2007 09 03 00 00     2.9224972890   249.0000000000   274.8249938590    72.8680337597   553.4000000000   286.9062500000   240.9375000000 0.0000201391988796
2007 09 04 00 00     1.9002472404   249.0000000000   276.1862438286    70.7122860702   553.4000000000   302.7187500000   241.6562500000 0.0001346357240982
2007 09 05 00 00     1.7167472317   249.0000000000   276.8224938144    71.3151185080   553.4000000000   309.8750000000   243.2812500000 0.0001247398909861
2007 09 06 00 00     2.6192472746   249.0000000000   274.9962438552    88.3083526588   553.4000000000   233.2812500000   258.8125000000 0.0002877607206756
2007 09 07 00 00     2.7587472812   249.0000000000   273.5162438883    86.1180361492   553.4000000000   291.6562500000   234.4375000000 0.0002512155826035
2007 09 08 00 00     2.2832472586   249.0000000000   274.3362438700    83.7979090926   553.4000000000   205.7187500000   262.1562500000 0.0002186634999978
2007 09 09 00 00     3.1249972986   249.0000000000   275.4237438456    76.7588545815   553.4000000000   318.6250000000   233.0312500000 0.0000677954478144
2007 09 10 00 00     3.2937473066   249.0000000000   274.8124938593    82.7536321311   553.4000000000   232.8750000000   255.7187500000 0.0000945315583279
2007 09 11 00 00     4.6372473704   249.0000000000   276.2899938263    70.2184135403   553.4000000000   174.7812500000   277.2812500000 0.0001256947520758
2007 09 12 00 00     3.2547473047   249.0000000000   272.5812439092    69.2852430635   553.4000000000   173.0000000000   260.9062500000 0.0000748266976573
2007 09 13 00 00     2.5409972709   249.0000000000   272.9424939011    54.3264029541   553.4000000000   289.0312500000   224.7500000000 0.0000028648937102
2007 09 14 00 00     2.9637472909   249.0000000000   275.9712438334    63.2272089905   553.4000000000   156.7500000000   280.2500000000 0.0000000003104409
